power_load,airflow_rate,ambient_temp,tim_conductivity,mae,rel_mae
0,0.01,0,0.1,4.0344661101698875e-07,0.0
0,0.01,0,5.0,9.8029850050807e-06,0.0
0,0.01,0,10.0,2.1440716373035685e-05,0.0
0,0.01,25,0.1,0.027273330688476562,0.0
0,0.01,25,5.0,0.027539100646972656,0.0
0,0.01,25,10.0,0.02716949462890625,0.0
0,0.01,50,0.1,0.16754447937011718,0.0
0,0.01,50,5.0,0.16710113525390624,0.0
0,0.01,50,10.0,0.16750679016113282,0.0
0,5.0,0,0.1,0.0013666154124075548,0.0
0,5.0,0,5.0,0.0010634657158516347,0.0
0,5.0,0,10.0,8.610915392637253e-07,0.0
0,5.0,25,0.1,0.027153396606445314,0.0
0,5.0,25,5.0,0.027100181579589842,0.0
0,5.0,25,10.0,0.027428054809570314,0.0
0,5.0,50,0.1,0.16791412353515625,0.0
0,5.0,50,5.0,0.16782699584960936,0.0
0,5.0,50,10.0,0.16765708923339845,0.0
0,10.0,0,0.1,0.0029318675911054015,0.0
0,10.0,0,5.0,1.062103547155857e-06,0.0
0,10.0,0,10.0,0.004992914823815226,0.0
0,10.0,25,0.1,0.027091026306152344,0.0
0,10.0,25,5.0,0.026986083984375,0.0
0,10.0,25,10.0,0.02737621307373047,0.0
0,10.0,50,0.1,0.16650863647460937,0.0
0,10.0,50,5.0,0.16690582275390625,0.0
0,10.0,50,10.0,0.16698707580566408,0.0
500,0.01,0,0.1,0.0013526286900889777,9.454330586642142e-05
500,0.01,0,5.0,2.4143513208495314e-06,8.4377031502327e-06
500,0.01,0,10.0,0.000354433914157941,0.0024773596447575643
500,0.01,25,0.1,0.044944017787383786,0.00314140610181719
500,0.01,25,5.0,0.02725766680103632,0.09526041179217301
500,0.01,25,10.0,0.026968506145462926,0.1884997065331258
500,0.01,50,0.1,0.21586328353445097,0.0150879754289295
500,0.01,50,5.0,0.16810708544119024,0.5875026025227796
500,0.01,50,10.0,0.16756451444624304,1.1712128817263836
500,5.0,0,0.1,0.002293699933363199,0.00016031458397834392
500,5.0,0,5.0,1.407844702692807e-06,4.920148503271319e-06
500,5.0,0,10.0,1.6914767050114e-06,1.182278116389361e-05
500,5.0,25,0.1,0.044887492014246674,0.0031373413337217474
500,5.0,25,5.0,0.02729475812023665,0.09538996954392241
500,5.0,25,10.0,0.02752258450181955,0.19237243567451826
500,5.0,50,0.1,0.21623678858407885,0.015113533509084523
500,5.0,50,5.0,0.16808142499037046,0.5874124965716867
500,5.0,50,10.0,0.16734577328355385,1.1696835376875556
500,10.0,0,0.1,0.0020607448059984327,0.00014402733656242276
500,10.0,0,5.0,1.0281385990196694e-05,3.593145530093902e-05
500,10.0,0,10.0,1.5386005076154777e-06,1.0754230557116639e-05
500,10.0,25,0.1,0.04520138382369055,0.0031591659977071814
500,10.0,25,5.0,0.02741954928044848,0.09582602095493163
500,10.0,25,10.0,0.027111468143454543,0.18949881903293264
500,10.0,50,0.1,0.2149329054301394,0.015021857058000812
500,10.0,50,5.0,0.16848484163886013,0.5888219314014803
500,10.0,50,10.0,0.1665506313514632,1.1641253724547154
1000,0.01,0,0.1,0.007514326543115069,0.0002626106033205477
1000,0.01,0,5.0,2.3130132459941827e-06,4.041772832254556e-06
1000,0.01,0,10.0,2.457782629472702e-06,8.589487713538245e-06
1000,0.01,25,0.1,0.07359943083843262,0.0025721521184408442
1000,0.01,25,5.0,0.027783804366227544,0.04854958174518903
1000,0.01,25,10.0,0.027209526634178048,0.09509217451244117
1000,0.01,50,0.1,0.2809967391880488,0.009820271023075504
1000,0.01,50,5.0,0.16876597447121328,0.29490264779419617
1000,0.01,50,10.0,0.1680455938338946,0.5872877227796158
1000,5.0,0,0.1,0.007637157943394184,0.000266893629080093
1000,5.0,0,5.0,0.0003962173906774054,0.0006923520747646253
1000,5.0,0,10.0,7.256928223970715e-05,0.000253615890954616
1000,5.0,25,0.1,0.07382253041520982,0.0025798553855276656
1000,5.0,25,5.0,0.02750665338646556,0.04806525152616737
1000,5.0,25,10.0,0.027548716672086044,0.09627754482081124
1000,5.0,50,0.1,0.2809580742384543,0.009818563477231054
1000,5.0,50,5.0,0.16828748376977018,0.2940663163363936
1000,5.0,50,10.0,0.16822761834445943,0.5879236502390867
1000,10.0,0,0.1,0.007760775681848257,0.00027120385014714796
1000,10.0,0,5.0,2.0011576564522327e-06,3.496829462073803e-06
1000,10.0,0,10.0,0.0011839112160931008,0.004137543863401449
1000,10.0,25,0.1,0.07351540802824076,0.002569029504232391
1000,10.0,25,5.0,0.027799913990580478,0.04857766102133249
1000,10.0,25,10.0,0.027394666328400062,0.09573913315142406
1000,10.0,50,0.1,0.2813432431112483,0.009831668105434038
1000,10.0,50,5.0,0.1687670160413657,0.29490403817857136
1000,10.0,50,10.0,0.16841017688749502,0.5885614431583707
